
joy , During the period of falling in love 
guilt  ,  I am going steady with a boy  
joy  ,  A good report card a scholarship in primary school.  
fear  ,  I was walking home with a friend at night along a quiet street.  
danger  ,  I got angry at a friend of mine whom I caught reading my notebook dalmanach.  
sadness  ,  When my grandmother died of cancer.  
disgust  ,  In a lift a drunken  
shame  ,   Sometimes I have by accident said to another person something din which it is easy to read a negative attitude.  
guilt  ,  For the sheer pleasure of it  
joy  ,  When I made the acquaintance of a certain person.  
fear  ,  When abroad  
danger  ,  When my sister took my things without having asked for my permission dfirst.  
sadness  ,  When my grandfather died.  
disgust  ,  When I was working  
shame  ,  While working as a domestic helper  
guilt  ,  When I decided to move away from my parent's home  
joy  ,  When I went to a job interview  
fear  ,  My episode of fright happened when I came to study.  
guilt  ,  I felt guilty when I spent a night at my boyfriend's place  
joy  ,  I was in a restaurant with my boyfriend when I saw my best female dfriend after not seeing her for two weeks.  
  We rejoyced  ,   hugged dand had a long talk.  
fear  ,  One evening  
danger  ,  My brother told me that a person whom I know had insulted him.  
sadness  ,  My guinea-pig had been ill for a couple of days.  
  One evening  ,   dwhen I came home I enquired as to how it was doing.  
disgust  ,  I happened to see two boys fighting  
shame  ,  I had been away all night without having told my parents about dit.  
guilt  ,  I had not written to  
joy  ,  When I was sick my husband bought me a piece of cake.  
fear  ,  I saw a man who had had a heart-attack and who was being dtreated for it.  
danger  ,  When I saw a big man hit another one  
sadness  ,  When my sister left to go home  
disgust  ,  I once watched the series called Dynasty on TV  
shame  ,  I feel guilty as I am not working  
joy  ,  When my red-cheeked  
fear  ,  A neighbour's girl had disappeared and many people were looking for her.  
danger  ,  Without my permission  
disgust  ,  One of my fellow students used questionable and unfair means to dadvance her studies faster than others.  
shame  ,  My friend told me in a fairly loud voice the blunders she dcommitted last night.  
guilt  ,  I stopped my car in front of a pedestrian crossing as a child was dcrossing the street.  
joy  ,  After my vacations  
fear  ,  I work at a day care centre  
danger  ,  I was on vacation  
sadness  ,  The fact that my mother is getting married again my mother and dfather divorced about 15 years ago means that she will probably dmove to Turku  
disgust  ,  While travelling in a bus  
shame  ,  When I was seven years old  
guilt  ,  I am the secretary of an association  
joy  ,  I had been away from home for a long time and when I came home I dwas delighted.  
fear  ,  I awoke at night and did not remember dreaming about antthing in dparticular.  
danger  ,  One winter day I  
sadness  ,  I was on a class excursion  
disgust  ,  I was on my way home by bus.  
shame  ,  I gave a wrong answer at school.  
guilt  ,  When my little brother asked me to play with him  
 dHowever  ,   the next day I said the same thing.  
joy  ,  When  
fear  ,  When I was walking on a fairly out-of-the-way street.  
danger  ,  A friend of mine had promised to arrange me some tickets for a dconcert which I considered important.  
sadness  ,  I was sad when I saw that a beautiful girl was not attainable.  
disgust  ,  I heard somebody talk about studies in a highly enthusiastic dstudent-like way.  
shame  ,  While attending some affairs  
guilt  ,  One evening I went out with some friends of mine  
joy  ,  While watching an entertainment program in which there was a clever  dand amusing sketch.  
fear  ,  When I was in the army  
danger  ,  The last day of school is traditionally celebrated by singing a dsong about all the students who are leaving.  
sadness  ,  I worked for seven months in a factory  
  Later  ,   I visited my former fellow workers and was dtold that  
disgust  ,  The behaviour of a fellow towards me and some others in the army dwas really mean.  
shame  ,  I tried to date a girl  
guilt  ,  While doing some calculation exercises  
  By chance  ,   I was asked to ddemonstrate this very part on the blackboard.  
joy  ,  In the army  
fear  ,  When I was 8 years old  
danger  ,  I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees in my opinion this is the dstate's affair.  
sadness  ,  I lead a rather secure life.  
disgust  ,  Yesterday in the elevator a man started smoking  
shame  ,  In primary school I once faltered while answering a question and dthe others started laughing.  
guilt  ,   Generally when I am shopping I feel like I were guilty of all dthe thefts through the year I have never stolen.  
joy  ,  When my favourite football team made a goal and was about to dwin the Cup of England.  
fear  ,  I was less than 10 years old when our neighbour's dog chased me to the roof of a small shed and there seemed to be no hope of dgetting away from there.  
danger  ,  While playing a ball game  
sadness  ,  When I heard about the death of Frantois Truffaut  
disgust  ,  I saw a movie called The Thing  
shame  ,  I had misbehaved at a party and did not wish to meet the person din question later.  
guilt  ,  While playing a ball game  
joy  ,  When I was in the sauna bath.  
fear  ,  I had a dream in which I was an African elephant.  
danger  ,  When I came for the lesson  
sadness  ,  When my car froze  
disgust  ,  When I saw our computer teacher.  
shame  ,  When I was going downhill on skis  
guilt  ,  When I was involved in a car crash.  
joy  ,  I passed an exam which I thought I had failed.  
fear  ,  My mother had not come home at midnight.  
danger  ,  My girlfriend started singing she cannot sing and did not stop Despite my asking her to do so.  
sadness  ,  When my grandmother died of cancer.  
disgust  ,  When I was still a child  
shame  ,  As a small boy  
guilt  ,  When I betrayed my former girlfriend.  
danger  ,  New Year's Eve party in the country  
sadness  ,  Christmas Eve: there was a tension between my parents  
disgust  ,  Father said: If you are pregnant  
shame  ,  I had an intimate relation with my boyfriend  
guilt  ,  I work at a commercial house from 7 to 10 a.  
joy  ,  After one year of searching  
fear  ,  Car accident in the middle of the night.  
danger  ,  At the weekend I wanted to be absent from school because of a dsports event  
sadness  ,  When I was six years old  
disgust  ,  A gigantic spider climbed over my face and what is more - in my down flat.  
shame  ,  I was very fat and felt absolutely unwell.  
guilt  ,  I was said to be responsible for my mother getting ill and dgrowing thin.  
joy  ,  I won a car in a prize-competition.  
fear  ,  My sister had to undergo a very complicated operation  
danger  ,  I had a quarrel with my parents; I was convinced to be right.  
sadness  ,  I heard that a friend had died in an accident; group situation: dsuddenly a friend came in and said Have you already heard dthat.  
disgust  ,  Scuffle in a carriage of the underground in Vienna  
shame  ,  I put an end to a friendship with a girl - I had only pretended dlove and affection to be able to sleep with her.  
guilt  ,  A young girl tried to put an end to her life because of lover's dgrief; not until she was in hospital I heard that I had been the dreason for her action.  
joy  ,  In order to be admitted to my final examination  
fear  ,  I had not told my parents about my bad marks in school.  
 One day  ,   dmy father wanted to speak to the teachers.  
danger  ,  I wanted to go to a friend of mine who had a party; at the moment dI wanted to leave  
sadness  ,  A friend of mine  
disgust  ,  Eco-activists demonstrated against a project to build a power station dat the Danube in the middle of a lowland forest Hainburg and dthe government decided to delay it for another year.  
shame  ,  There was a time when my room looked terribly untidy; just at dthat time my aunt came to see me; fortunately I could prevent her dfrom entering the room.  
guilt  ,  I was supposed to fetch some friends at the bus stop  
joy  ,  My boyfriend returned after a long absence.  
fear  ,  My car skidded on the wet street.  
danger  ,  I wanted to see a friend  
sadness  ,  A good friend quitted me after he had behaved in a strange dmanner.  
disgust  ,  In broad daylight I saw an untidy old man pissing and playing dwith his penis in the middle of the town.  
